hour_index,datetime,predicted_price,buy_mwh
0,2018-12-24 23:00:00,68.11519,0.0
1,2018-12-25 00:00:00,64.93285,0.0
2,2018-12-25 01:00:00,64.76687,0.0
3,2018-12-25 02:00:00,63.409748,0.0
4,2018-12-25 03:00:00,61.600086,0.0
5,2018-12-25 04:00:00,64.3193,0.0
6,2018-12-25 05:00:00,67.10585,0.0
7,2018-12-25 06:00:00,67.92356,0.0
8,2018-12-25 07:00:00,67.110596,0.0
9,2018-12-25 08:00:00,65.18874,0.0
10,2018-12-25 09:00:00,69.58738,0.0
11,2018-12-25 10:00:00,69.05242,0.0
12,2018-12-25 11:00:00,70.95593,0.0
13,2018-12-25 12:00:00,69.48187,0.0
14,2018-12-25 13:00:00,70.29558,0.0
15,2018-12-25 14:00:00,70.257065,0.0
16,2018-12-25 15:00:00,69.35497,0.0
17,2018-12-25 16:00:00,72.12838,0.0
18,2018-12-25 17:00:00,73.88586,0.0
19,2018-12-25 18:00:00,72.735916,0.0
20,2018-12-25 19:00:00,71.51776,0.0
21,2018-12-25 20:00:00,69.510605,0.0
22,2018-12-25 21:00:00,69.27734,0.0
23,2018-12-25 22:00:00,68.941574,0.0
24,2018-12-25 23:00:00,65.68372,0.0
25,2018-12-26 00:00:00,61.049076,0.0
26,2018-12-26 01:00:00,57.06989,0.0
27,2018-12-26 02:00:00,55.82127,10.0
28,2018-12-26 03:00:00,54.50283,10.0
29,2018-12-26 04:00:00,57.94799,0.0
30,2018-12-26 05:00:00,61.539288,0.0
31,2018-12-26 06:00:00,66.308365,0.0
32,2018-12-26 07:00:00,67.68574,0.0
33,2018-12-26 08:00:00,70.4586,0.0
34,2018-12-26 09:00:00,71.86755,0.0
35,2018-12-26 10:00:00,72.07338,0.0
36,2018-12-26 11:00:00,71.886314,0.0
37,2018-12-26 12:00:00,71.36919,0.0
38,2018-12-26 13:00:00,70.652115,0.0
39,2018-12-26 14:00:00,71.3793,0.0
40,2018-12-26 15:00:00,72.068405,0.0
41,2018-12-26 16:00:00,73.2887,0.0
42,2018-12-26 17:00:00,77.00893,0.0
43,2018-12-26 18:00:00,78.08658,0.0
44,2018-12-26 19:00:00,76.42708,0.0
45,2018-12-26 20:00:00,73.906166,0.0
46,2018-12-26 21:00:00,70.66603,0.0
47,2018-12-26 22:00:00,70.01509,0.0
48,2018-12-26 23:00:00,69.156784,0.0
49,2018-12-27 00:00:00,65.60997,0.0
50,2018-12-27 01:00:00,65.79157,0.0
51,2018-12-27 02:00:00,63.92244,0.0
52,2018-12-27 03:00:00,62.1154,0.0
53,2018-12-27 04:00:00,64.40891,0.0
54,2018-12-27 05:00:00,68.495735,0.0
